,Model,recall_score,precision_score,accuracy_score
0,LogisticRegression(),0.8162342555711056,0.8260159058720994,0.8289235230155854
1,SVC(),0.9300232902816007,0.957075934197625,0.9453735825609693
2,KNeighborsClassifier(n_neighbors=10),0.9077264559771694,0.9356139012964375,0.9241961373168333
3,DecisionTreeClassifier(),0.9969515514425694,0.9976032247521517,0.997411070263553
4,AdaBoostClassifier(n_estimators=100),0.8721066666666667,0.8907288375640048,0.8859835344068762
